     0.000480     0.000003     0.000064     0.000044
     0.000960     0.000032     0.000626     0.000427
     0.001440     0.000106     0.002041     0.001392
     0.001920     0.000226     0.004385     0.002991
     0.002400     0.000381     0.007351     0.005015
     0.002880     0.000555     0.010513     0.007177
     0.003360     0.000744     0.013858     0.009464
     0.003840     0.000966     0.016829     0.011514
     0.004320     0.001203     0.018955     0.013007
     0.004800     0.001434     0.020985     0.014434
     0.005280     0.001676     0.023013     0.015863
     0.005760     0.001888     0.025056     0.017293
     0.006240     0.002069     0.027356     0.018883
     0.006720     0.002210     0.029674     0.020471
     0.007200     0.002326     0.031558     0.021763
     0.007680     0.002435     0.033343     0.022986
     0.008160     0.002589     0.035591     0.024532
     0.008640     0.002781     0.037711     0.026006
     0.009120     0.003039     0.039343     0.027178
     0.009600     0.003308     0.040447     0.028002
     0.010080     0.003521     0.041754     0.028943
     0.010560     0.003662     0.043400     0.030084
     0.011040     0.003732     0.045598     0.031569
     0.011520     0.003747     0.047992     0.033166
     0.012000     0.003806     0.051306     0.035390
     0.012480     0.003944     0.055789     0.038417
     0.012960     0.004115     0.060556     0.041644
     0.013440     0.004320     0.064906     0.044605
     0.013920     0.004524     0.068761     0.047237
     0.014400     0.004661     0.071647     0.049202
     0.014880     0.004807     0.073670     0.050595
     0.015360     0.004975     0.075375     0.051785
     0.015840     0.005175     0.076836     0.052824
     0.016320     0.005372     0.078405     0.053933
     0.016800     0.005512     0.080165     0.055151
     0.017280     0.005626     0.081967     0.056387
     0.017760     0.005755     0.084125     0.057865
     0.018240     0.005890     0.086529     0.059509
     0.018720     0.006041     0.090535     0.062223
     0.019200     0.006133     0.095360     0.065462
     0.019680     0.006237     0.099704     0.068385
     0.020160     0.006384     0.103670     0.071071
     0.020640     0.006602     0.107270     0.073538
     0.021120     0.006935     0.110624     0.075880
     0.021600     0.007277     0.113068     0.077620
     0.022080     0.007585     0.115084     0.079064
     0.022560     0.007961     0.117258     0.080635
     0.023040     0.008336     0.118994     0.081915
     0.023520     0.008630     0.120664     0.083124
     0.024000     0.008986     0.122847     0.084695
     0.024480     0.009397     0.125805     0.086799
     0.024960     0.009952     0.127861     0.088352
     0.025440     0.010463     0.128643     0.089043
     0.025920     0.010966     0.128998     0.089448
     0.026400     0.011468     0.129859     0.090189
     0.026880     0.011987     0.130523     0.090804
     0.027360     0.012506     0.130822     0.091176
     0.027840     0.012990     0.130869     0.091370
     0.028320     0.013468     0.131829     0.092169
     0.028800     0.013988     0.134108     0.093858
     0.029280     0.014563     0.137355     0.096210
     0.029760     0.015139     0.141295     0.099023
     0.030240     0.015571     0.145169     0.101743
     0.030720     0.015948     0.148384     0.104008
     0.031200     0.016314     0.150594     0.105600
     0.031680     0.016715     0.151974     0.106652
     0.032160     0.017309     0.152429     0.107153
     0.032640     0.018028     0.153056     0.107811
     0.033120     0.018742     0.153859     0.108584
     0.033600     0.019597     0.155281     0.109816
     0.034080     0.020567     0.156706     0.111089
     0.034560     0.021478     0.157471     0.111903
     0.035040     0.022257     0.156693     0.111647
     0.035520     0.022970     0.155614     0.111168
     0.036000     0.023641     0.155479     0.111303
     0.036480     0.024270     0.155615     0.111604
